image_urls,station_url,genre,images,name
http://resources.live24.gr/resources/images/stations/91f4ce20-cd8f-41a4-b09e-8fde5c414c99.jpg,/radio/generic.jsp?sid=3074,Ειδήσεις / Αθλητικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/91f4ce20-cd8f-41a4-b09e-8fde5c414c99.jpg', 'checksum': 'c5c674e2cccdb2b6368c3fbb677401e5', 'path': 'full/ab80dc2cb2741faaf1563d203acdd27a5362b410.jpg'}]",Hellas FM 
http://resources.live24.gr/resources/images/stations/f6f7bceb-08cd-4d58-8f29-670819664ae9.jpg,/radio/generic.jsp?sid=2687,Παραδοσιακά Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/f6f7bceb-08cd-4d58-8f29-670819664ae9.jpg', 'checksum': '2dc6c902b41c8691be948faebb9e2ddf', 'path': 'full/641634aeee8f09629a1ee2b0cf74671c2d5d9462.jpg'}]",LA Hellenic Radio 
http://resources.live24.gr/resources/images/stations/2014f49c-01b3-4a79-9a6f-5049824309e7.jpg,/radio/generic.jsp?sid=1820,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/2014f49c-01b3-4a79-9a6f-5049824309e7.jpg', 'checksum': '34919a66ae144581a66ea99c9c4d96fb', 'path': 'full/786c68c9e42e722dc6e51f0443393d45537ebe18.jpg'}]",Ellinikos FM 
http://resources.live24.gr/resources/images/stations/29fb0aea-c8c5-45ae-b777-83ecc8223df0.png,/radio/generic.jsp?sid=2797,Ειδήσεις / Αθλητικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/29fb0aea-c8c5-45ae-b777-83ecc8223df0.png', 'checksum': '1052db9592485812fa6c1408f978faff', 'path': 'full/db7748ccdc278794b4576551ee1bdadd40359d3b.jpg'}]",Greek Radio NY 
http://resources.live24.gr/resources/images/stations/622da0c3-0cee-4863-8395-9c3e0b1c859a.png,/radio/generic.jsp?sid=2830,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/622da0c3-0cee-4863-8395-9c3e0b1c859a.png', 'checksum': 'd3e9c63c4b6e4dbf279ebd9886e7af47', 'path': 'full/d6c95d3cbe298c2538a32a478b6bca4e8f0f0547.jpg'}]",Chicago Greek Radio 
http://resources.live24.gr/resources/images/stations/4553db6d-91ee-408a-a73a-1ef1e371d8f0.jpg,/radio/generic.jsp?sid=2720,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/4553db6d-91ee-408a-a73a-1ef1e371d8f0.jpg', 'checksum': '67be1f2a220e178951ec38a7220bac78', 'path': 'full/50e819e63d7858ade49f068b3463af0033968fda.jpg'}]",El Greco Radio 
http://resources.live24.gr/resources/images/stations/bb26a840-73fa-402d-b43b-0756e0435887.png,/radio/generic.jsp?sid=3025,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/bb26a840-73fa-402d-b43b-0756e0435887.png', 'checksum': '7a41a8b25975ef823c1a5ac08343a336', 'path': 'full/d02c33f5bef205f1fc271265cb6dcb15367540c6.jpg'}]",Blue Radio 
http://resources.live24.gr/resources/images/stations/36242f3a-db79-4d05-8e8f-c8228d218fc1.png,/radio/generic.jsp?sid=2672,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/36242f3a-db79-4d05-8e8f-c8228d218fc1.png', 'checksum': 'f1fa9ea33766f128886628a81f5756f7', 'path': 'full/cdcbd8608f5864f1d754a9f7bfadeb7be3d30a87.jpg'}]",Cosmos Radio NY 
http://resources.live24.gr/resources/images/stations/a2c20e4e-d887-4714-9f48-a078f138cf96.png,/radio/generic.jsp?sid=2063,'Εντεχνα,"[{'url': 'http://resources.live24.gr/resources/images/stations/a2c20e4e-d887-4714-9f48-a078f138cf96.png', 'checksum': '69fe541ee7df90f4ae767fa17f41eacc', 'path': 'full/602e9f357a2a787b0e212d99340096c855d7420d.jpg'}]",Hellas Radio 
http://resources.live24.gr/resources/images/stations/f96e4e8d-23c3-4552-ba69-53e2402b766b.png,/radio/generic.jsp?sid=2765,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/f96e4e8d-23c3-4552-ba69-53e2402b766b.png', 'checksum': 'c3c24fccdad953afa888c0381d51d99d', 'path': 'full/b820014676baf50778d9300ce458c177b22cc6c5.jpg'}]",Hot 40 Music 
http://resources.live24.gr/resources/images/stations/5a16789f-d4cb-4083-ac13-4bce9865080a.png,/radio/generic.jsp?sid=2866,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/5a16789f-d4cb-4083-ac13-4bce9865080a.png', 'checksum': '25cca77a49b7f3e0261a7d74c6234fec', 'path': 'full/a1f7c1a4f54e266ec76d7e09fcabe7498d1942d9.jpg'}]",Ράδιο Μετανάστης Germany 
http://resources.live24.gr/resources/images/stations/c071b186-5352-4c7b-baa1-68956bce0a1b.png,/radio/generic.jsp?sid=2937,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/c071b186-5352-4c7b-baa1-68956bce0a1b.png', 'checksum': 'c904a78afb0651f083bb26ceadf68844', 'path': 'full/abdd5e6ac10812cbd40445fd6000977ddd2c1acb.jpg'}]",Bach Radio 
http://resources.live24.gr/resources/images/stations/b3d2238f-470e-438e-a98f-f033a75dee86.jpg,/radio/generic.jsp?sid=1848,Ειδήσεις / Αθλητικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/b3d2238f-470e-438e-a98f-f033a75dee86.jpg', 'checksum': '9cb3317319e7adfabc1cf6fc04130991', 'path': 'full/16165b760d8c997f12d56a2837e636e89df35319.jpg'}]",24-7 Radio.us 
http://resources.live24.gr/resources/images/stations/3429b21f-22ac-4ba9-9670-ab253eb7ecd9.png,/radio/generic.jsp?sid=1362,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/3429b21f-22ac-4ba9-9670-ab253eb7ecd9.png', 'checksum': 'deb617c160640ba6fe5be001cf1bd8f0', 'path': 'full/c662fd8bc4281eaa885eb85cff7caa5b09953fa8.jpg'}]",Deep Motion FM 
http://resources.live24.gr/resources/images/stations/ec4027df-e89e-4247-aee3-9f12ada2e263.jpg,/radio/generic.jsp?sid=3073,Θρησκευτική,"[{'url': 'http://resources.live24.gr/resources/images/stations/ec4027df-e89e-4247-aee3-9f12ada2e263.jpg', 'checksum': 'ed9b57827488d225708afe2426830555', 'path': 'full/6b0c2cb6d02f75f7870741707eac33a3df5d0ea9.jpg'}]",Radio Filopoli 
http://resources.live24.gr/resources/images/stations/8c67ab35-782e-4781-ac6b-451050290f36.jpg,/radio/generic.jsp?sid=2977,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/8c67ab35-782e-4781-ac6b-451050290f36.jpg', 'checksum': '7eaf924eb5d77f089f82491332ac3026', 'path': 'full/2f75143bef29d58956ab8ed6e181273c5efc117d.jpg'}]",Radio 0211 
http://resources.live24.gr/resources/images/stations/479321dd-b632-44be-89ed-4aa8c3b1f5c2.png,/radio/generic.jsp?sid=2802,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/479321dd-b632-44be-89ed-4aa8c3b1f5c2.png', 'checksum': 'ebb458fd15230526f4072da0cbf82804', 'path': 'full/31785f5174ec80c708ddca2e1a1b032158fd6e84.jpg'}]",Mix Mania Radio 
http://resources.live24.gr/resources/images/stations/fc5f2437-2b4d-4528-a814-d1d6c0e80986.png,/radio/generic.jsp?sid=2024,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/fc5f2437-2b4d-4528-a814-d1d6c0e80986.png', 'checksum': '41d4b3ed5251ae630d67699b0da9a346', 'path': 'full/2e7b3a0c508acec23644327c7b74e50d0b7c4d5a.jpg'}]",Radio Nikos USA 
http://resources.live24.gr/resources/images/stations/de9dfe48-aa50-42e6-ba72-082e430c9a5d.png,/radio/generic.jsp?sid=1615,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/de9dfe48-aa50-42e6-ba72-082e430c9a5d.png', 'checksum': 'ff857e5034930df9e9e37c42ab225c98', 'path': 'full/2b78eb02eec06388716bfca84500555606e94ca3.jpg'}]",London Greek Radio 103.3
http://resources.live24.gr/resources/images/stations/42754474-3026-45d2-b2de-79c836147974.png,/radio/generic.jsp?sid=3027,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/42754474-3026-45d2-b2de-79c836147974.png', 'checksum': '69330244859e07c9de453c7a38977718', 'path': 'full/74964f18bf8ce52d1569cc6d4eab03c353c3b636.jpg'}]",GreekBeat Radio 
http://resources.live24.gr/resources/images/stations/73d89fcb-2eb1-4516-833c-2398c8fd6ffa.png,/radio/generic.jsp?sid=2477,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/73d89fcb-2eb1-4516-833c-2398c8fd6ffa.png', 'checksum': '4c06efa7bc60a62ddbed09efc7a142b2', 'path': 'full/a5d4b1d94d54101e0bedaaf37bc9c168ae4b29f3.jpg'}]",Frisky radio 
http://resources.live24.gr/resources/images/stations/711c218c-8b01-4faf-bb63-46377b57404c.png,/radio/generic.jsp?sid=2816,'Εντεχνα,"[{'url': 'http://resources.live24.gr/resources/images/stations/711c218c-8b01-4faf-bb63-46377b57404c.png', 'checksum': 'a720e857340e548ed9bd2092b894fb74', 'path': 'full/aaadd3e51a657c7fb1e57d6a4a74ba6350f0578f.jpg'}]",Greek Radio United Kingdom 
