station_url,genre,name,images,image_urls
/radio/generic.jsp?sid=2657,Διεθνής Μουσική,Z butsam Radio ,"[{'path': 'full/f68d828a7bd9fda56a9a7d4240bf25e7b51a23a9.jpg', 'checksum': '45d046a3f55879a6bb21c9c55dd2fa28', 'url': 'http://resources.live24.gr/resources/images/stations/d59ec54a-5092-4ff4-9401-d80a0bcdef23.png'}]",http://resources.live24.gr/resources/images/stations/d59ec54a-5092-4ff4-9401-d80a0bcdef23.png
/radio/generic.jsp?sid=2605,Διεθνής Μουσική,You Smile Radio ,"[{'path': 'full/4454cf47652721c3948f4f802af746082415246b.jpg', 'checksum': '81fd6a5df55832d5c85d7cba6242f0be', 'url': 'http://resources.live24.gr/resources/images/stations/4be63d28-85a5-4aa7-b1c7-e0566a1748fc.png'}]",http://resources.live24.gr/resources/images/stations/4be63d28-85a5-4aa7-b1c7-e0566a1748fc.png
/radio/generic.jsp?sid=3087,Διεθνής Μουσική,Yoga Radio ,"[{'path': 'full/ef49831e5b3a36921758f1015710fa502291dfe3.jpg', 'checksum': '69ad624d05386375ae6d4929fd07339e', 'url': 'http://resources.live24.gr/resources/images/stations/2b0a9848-8154-449f-a8a8-ae1a9e6c683a.png'}]",http://resources.live24.gr/resources/images/stations/2b0a9848-8154-449f-a8a8-ae1a9e6c683a.png
/radio/generic.jsp?sid=1862,Διεθνής Μουσική,XXL-Radio ,"[{'path': 'full/8f071ebc1abb9c37da5f7163ec065e10a458dfa5.jpg', 'checksum': '40c848fb318df00820c050cacadf2a3e', 'url': 'http://resources.live24.gr/resources/images/stations/6ff3eee4-e44f-4ef5-9b61-298e06b104df.jpg'}]",http://resources.live24.gr/resources/images/stations/6ff3eee4-e44f-4ef5-9b61-298e06b104df.jpg
/radio/generic.jsp?sid=2889,Διεθνής Μουσική,X Radio ,"[{'path': 'full/b258b5a9f5ac386675ec5b35df92e109696513e8.jpg', 'checksum': '02bfdb560f92c612d5ea92cc3867b74f', 'url': 'http://resources.live24.gr/resources/images/stations/f444688d-9702-4c62-84de-ef48c77cfbee.png'}]",http://resources.live24.gr/resources/images/stations/f444688d-9702-4c62-84de-ef48c77cfbee.png
/radio/generic.jsp?sid=1838,Ροκ,Wild Radio ,"[{'path': 'full/490a72fce10d0a4d5775dea4e936b8c858e52092.jpg', 'checksum': '871ade0616039bd87826eacf329e932d', 'url': 'http://resources.live24.gr/resources/images/stations/5bfaa50c-ca57-449b-953f-882d49f4552e.jpg'}]",http://resources.live24.gr/resources/images/stations/5bfaa50c-ca57-449b-953f-882d49f4552e.jpg
/radio/generic.jsp?sid=1806,Διεθνής Μουσική,WeWin Radio ,"[{'path': 'full/1ebd7c1d9257681538cb8af2f463a16955a1f28b.jpg', 'checksum': '49243503a64bbbb7d8012736897327c9', 'url': 'http://resources.live24.gr/resources/images/stations/d1630039-3c04-4899-a609-dc58932232ef.jpg'}]",http://resources.live24.gr/resources/images/stations/d1630039-3c04-4899-a609-dc58932232ef.jpg
/radio/generic.jsp?sid=2607,Διεθνής Μουσική,West Web Radio ,"[{'path': 'full/f1e2a407d52b8949e290f65ea8f50776c3e43a1e.jpg', 'checksum': 'ae90e438a87769ff5a316a8b54e86abf', 'url': 'http://resources.live24.gr/resources/images/stations/307af8a4-bdcf-4b1f-9409-23093eae6bd7.png'}]",http://resources.live24.gr/resources/images/stations/307af8a4-bdcf-4b1f-9409-23093eae6bd7.png
/radio/generic.jsp?sid=2892,Διεθνής Μουσική,Weird Fishes Radio ,"[{'path': 'full/ba751d54f7115bfc0cb18ed335d183da0e4bb49a.jpg', 'checksum': 'ecaaf718cdb6a9374488f548c8657d79', 'url': 'http://resources.live24.gr/resources/images/stations/5ddc51a6-0c2e-4e50-bc1e-422b7bb669fa.png'}]",http://resources.live24.gr/resources/images/stations/5ddc51a6-0c2e-4e50-bc1e-422b7bb669fa.png
/radio/generic.jsp?sid=2435,Διάφορα Ελληνικά,Web Radio Απολαύσεις ,"[{'path': 'full/f86d4739d4fa406a3e4dbcbb594f4804011844f7.jpg', 'checksum': '31ab129e29646f3e6a9b788801837f48', 'url': 'http://resources.live24.gr/resources/images/stations/b7cfd99c-8b29-4f81-8518-90d547b23d10.jpg'}]",http://resources.live24.gr/resources/images/stations/b7cfd99c-8b29-4f81-8518-90d547b23d10.jpg
/radio/generic.jsp?sid=2545,Διάφορα Ελληνικά,Web Music Radio ,"[{'path': 'full/d1dc71f661dc0911b8b7774a865fce72009c1947.jpg', 'checksum': '8bed180aefb8fcdfee3a0341d50a548e', 'url': 'http://resources.live24.gr/resources/images/stations/c841fb5d-4e02-4b73-a9b7-af973b01169b.png'}]",http://resources.live24.gr/resources/images/stations/c841fb5d-4e02-4b73-a9b7-af973b01169b.png
